機種,台松料號,材料代號,中文名稱,同行價,修理價,顧客自購價,維修工時
SB-PM147,RGP0940-K,B4240-3610,喇叭前面框,300,730,360,E.30
SB-PM147,EAST10PL38A6,B4240-3630,重低音喇叭,1000,1430,1200,E.30
SB-PM137,RGP0928-S,B4240-3680,前面框左,300,730,400,E.30
SB-PM137,RGP0928A-S,B4240-3690,前面框右,300,730,400,E.30
SB-VK70,EAST6PH11E6,B4240-3720,高音喇叭,300,730,400,E.30
SB-VK61,RYBX0026A-S,B4240-3830,喇叭前面板R,600,1030,750,E.30
SB-AK310,RFKHBAK310SA,B4240-3850,喇叭木箱L,900,1330,1100,E.30
SB-AK310,RFKHBAK310SB,B4240-3860,喇叭木箱R,900,1330,1100,E.30
SB-FS900,EAST65P08A6,B4240-3890,喇叭,500,930,650,E.30
SB-FS801A,RFKHBPC801AE,B4240-3900,喇叭箱,1200,1630,1450,E.30
SB-FS801A,RGP0980-S,B4240-3910,喇叭底座,500,930,650,E.30
SB-PC700P-S,RFKHBPC700PS,B4240-3940,喇叭箱,1100,1530,1300,E.30
SB-PC701,RGP1009-S,B4240-3950,喇叭底座,300,730,400,E.30
SB-WA340GCS,RGK1601-S,B4240-3970,喇叭底座,450,880,600,E.30
SB-WA340GCS,RYB0298AJ,B4240-3980,喇叭網,1200,1630,1450,E.30
SB-PM148GC-M,EAST10P49A6,B4240-4020,低音喇叭,700,1130,850,E.30
SB-PM148GC-M,EAST6PH08F6,B4240-4030,低音喇叭,200,630,300,E.30
SB-PM148GC-K,RYQ0440B-K,B4240-4090,喇叭面板(黑色),400,830,500,E.30
SB-FS900,RGK1617-S,B4240-4170,底座上殼,1300,1730,1550,E.30
SB-FS900,RMA1635,B4240-4180,底座底板(鐵片),1100,1530,1300,E.30
SB-FS860,RKNC0002,B4240-4320,喇叭網,600,1030,750,E.30
SB-PM31,EAST10P45A6,B4240-4460,低音喇叭,600,1030,750,E.30
SB-PM19,EAST6PH08J6,B4240-4470,高音喇叭,150,580,250,E.30
SB-WA878,RMVX0077,B4240-4540,喇叭木箱底座,250,680,350,E.30
SB-PM39,EAST10P50A6,B4240-4550,低音喇叭,1000,1430,1200,E.30
SB-PM71,EAST3FP02A6,B4240-4560,超高音喇叭,250,680,350,E.30
SB-PM39,EAST6PH18B6,B4240-4570,高音喇叭,300,730,400,E.30
SB-VK31,RFKHBVK31GCS,B4240-4730,喇叭木箱,2400,2830,2750,E.30
SB-VK31,RYBX0063A-S,B4240-4740,SP前面板,800,1230,1000,E.30
SB-VK91,L0AA15A00006,B4240-4750,低音喇叭,600,1030,750,E.30
SB-VK91,L0AA15A00008,B4240-4760,重低音喇叭,700,1130,850,E.30
SB-VK91,RFKHBVK91GCS,B4240-4770,喇叭木箱,2400,2830,2750,E.30
SB-VK91,RGPX0161-S,B4240-4780,喇叭面板,1000,1430,1200,E.30
SB-VK91,RYKX0286-S,B4240-4790,喇叭網,1700,2130,2000,E.30
SB-PS81,L0AA07A00013,B4240-4800,低音喇叭,400,830,500,E.30
SB-PS81,RGPX0163-S,B4240-4820,喇叭面板,1000,1430,1200,E.30
SB-PS81,RYKX0287-S,B4240-4830,喇叭網,1000,1430,1200,E.30
SB-PC81,L0AA07A00012,B4240-4840,低音喇叭,400,830,500,E.30
SB-PC81,RYBX0070-S,B4240-4860,喇叭後殼,1300,1730,1550,E.30
SB-PC81,RGPX0164-S,B4240-4870,喇叭面板,1000,1430,1200,E.30
SB-PC81,RYKX0289-S,B4240-4880,喇叭網,1000,1430,1200,E.30
SB-PC81B,RYKX0290-S,B4240-4910,喇叭網,1000,1430,1100,E.30
SB-PS81B,RYKX0288-S,B4240-4920,喇叭網,1000,1430,1100,E.30
SB-AK330,RFKGBAK330GA,B4240-4930,喇叭前面框L,2000,2430,2200,E.30
SB-AK330,RYKX0293-S,B4240-4950,喇叭木箱L,2200,2630,2500,E.30
SB-AK330,RYKX0294-S,B4240-4960,喇叭木箱R,2400,2830,2600,E.30
SB-AK330,EAST6PH11J6,B4240-4970,高音喇叭,200,630,300,E.30
SB-AK330,L0AA16A00014,B4240-4980,低音喇叭,700,1130,800,E.30
SB-AK230,EAST16PL41F6,B4240-4990,低音喇叭,450,880,600,E.30
SB-AK230,RYBX0074-S,B4240-5000,喇叭面板,800,1230,1000,E.30
SB-AK230,RYKX0297-S,B4240-5010,喇叭木箱,800,1230,1000,E.30
SB-PM31,RGKV0111-S,B4240-5020,低音飾框,250,680,350,E.30
SB-PM31,RGKV0112-S,B4240-5040,高音飾框,120,550,200,E.30
SB-PM31,RFKHBPM31PS1,B4240-5050,喇叭木箱,1500,1930,1800,E.30
SB-PM31,RKPV0026-S,B4240-5060,喇叭面板,350,780,450,E.30
SB-PM31,RYBV0026-K,B4240-5070,喇叭網,350,780,450,E.30
SB-PM21,EAS10P606D,B4240-5080,低音喇叭,600,1030,750,E.30
SB-PM21,EAS6PH124A,B4240-5090,高音喇叭,450,880,600,E.30
SB-PM21,RFKHBPM21E-M,B4240-5100,喇叭木箱,1200,1630,1450,E.30
SB-PM21,RGKV0109-S,B4240-5110,低音喇叭飾板,200,630,300,E.30
SB-PM21,RKBV0025-M,B4240-5130,喇叭面板,500,930,650,E.30
SB-PM21,RYBV0025,B4240-5140,喇叭網,200,630,300,E.30
SB-PM71,EAS6PH122C,B4240-5150,高音喇叭,300,730,400,E.30
SB-PM41,EAST10P606C,B4240-5160,低音喇叭,450,880,600,E.30
SB-PM41,RFKHBPM41EMA,B4240-5170,喇叭木箱L,1800,2230,2000,E.30
SB-PM41,RFKHBPM41EMB,B4240-5180,喇叭木箱R,1800,2230,2000,E.30
SB-PM41,RGKV0132-K,B4240-5190,木箱底座,250,680,350,E.30
SB-PM41,RYBV0028,B4240-5200,喇叭網,300,730,400,E.30
SB-FS843,RYBX0093-S,B4240-5210,喇叭面板,600,1030,750,E.30
SB-FS843,RYBX0143-H,B4240-5220,喇叭後殼,350,780,450,E.30
SB-PC841,L0AA06A00015,B4240-5230,低音喇叭,350,780,450,E.30
SB-PC841,RYBX0082-H,B4240-5240,喇叭後殼,800,1230,1000,E.30
SB-PC841,RYBX0090-S,B4240-5250,喇叭面板,1100,1530,1300,E.30
SB-FS843,EAS8P184B,B4240-5260,低音喇叭,300,730,400,E.30
SB-FS842,RYFX0144A-H,B4240-5270,喇叭後殼,1200,1630,1450,E.30
SB-FS842,RYQX0191-S,B4240-5280,喇叭架座,900,1330,1100,E.30
SB-FS842,RYQX0190-S,B4240-5290,喇叭架桿,500,930,650,E.30
SB-FS842,RYBX0088A-S,B4240-5300,喇叭面板,1200,1630,1400,E.30
SB-WA840,EAS13PL21A,B4240-5310,喇叭,600,1030,800,E.30
SB-WA840,RFKHBWA730PP,B4240-5320,喇叭木箱,2000,2430,2300,E.30
SB-WA840,RGRX0040S-H,B4240-5330,喇叭後蓋,90,520,110,E.30
SB-WA840,RYQX0167A-S,B4240-5340,喇叭面板,850,1280,1050,E.30
SB-PM71,EAS10P606C,B4240-5350,低音喇叭,1000,1430,1200,E.30
SB-PM71,RFKHBPM71PMA,B4240-5360,喇叭木箱L,1900,2330,2200,E.30
SB-PM71,RFKHBPM71PMB,B4240-5370,喇叭木箱R,1900,2330,2200,E.30
SB-PM71,RGK1872-K,B4240-5380,木箱底座,200,630,300,E.30
SB-PM71,RYB0317K,B4240-5390,喇叭網L,450,880,600,E.30
SB-PM71,RYB0317L,B4240-5400,喇叭網R,450,880,600,E.30
SB-PC15,RYKV0056A,B4240-5410,喇叭後殼,500,930,650,E.30
SB-PC15,RYPV0097B-S,B4240-5420,喇叭面板,500,930,650,E.30
SB-FS880,EAST6PH17D6,B4240-5430,高音喇叭,300,730,400,E.30
SB-FS880,EAST8P184B,B4240-5440,低音喇叭,600,1030,750,E.30
SB-FS880,RYKV0058,B4240-5450,喇叭箱後殼,1000,1430,1200,E.30
SB-FS880,RYPV0112-S,B4240-5460,喇叭箱面板,1200,1630,1450,E.30
SB-FS880,RYQV0059-S,B4240-5470,喇叭箱底座,1500,1930,1800,E.30
SB-FS880,RYQV0060,B4240-5480,喇叭箱支桿,600,1030,750,E.30
SB-WA15,RFKHBWA830PP,B4240-5490,喇叭木箱,2200,2630,2500,E.30
SB-WA15,RYQX0167A-SJ,B4240-5500,喇叭箱面板,1500,1930,1800,E.30
SB-FS15,EAST8P184D,B4240-5510,低音喇叭,450,880,600,E.30
SB-FS15,RYKV0059,B4240-5520,喇叭箱後殼,300,730,400,E.30
SB-FS15,RYPV0113-S,B4240-5530,喇叭箱面板,400,830,500,E.30
SB-AK240,EAS16PL725B,B4240-5560,低音喇叭,1200,1630,1450,E.30
SB-AK240,RYBX0128-S,B4240-5570,喇叭面板,1350,1780,1650,E.30
SB-AK240,RYKX0314-S,B4240-5580,喇叭木箱,1500,1930,1800,E.30
SB-AK340,L0AA06A00037,B4240-5590,高音喇叭,250,680,350,E.30
SB-AK340,REEX0512,B4240-5610,超高音片,150,1010,250,H.60
SB-AK340,RGPX0214-SJ,B4240-5620,面框側弧飾板L,300,730,400,E.30
